timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.16,1012.74,37.03,16342.35,400,524,17611,11167,30359,25038,22090,15118,36207,27792,1838,4397
1000,33.16,1012.75,37.03,17498.94,400,523,11800,9434,29345,24585,22600,15197,39489,30127,1794,4227
2000,33.16,1012.74,37.0,18647.9,400,542,10219,8398,28197,23505,23496,15636,41398,30790,1811,4317
3000,33.16,1012.73,36.95,19369.74,400,609,10335,8612,27260,22842,23428,15524,42502,31313,2322,4823
4000,33.16,1012.73,36.9,19477.45,400,564,12111,9727,26350,21936,21250,14803,42771,31417,3134,5255
5000,33.16,1012.74,36.88,18933.5,400,526,16329,11066,25936,21483,19210,14105,42711,30894,3399,5430
6001,33.16,1012.74,36.85,18419.1,400,486,17376,11235,25178,21030,18769,14015,42592,31382,2558,4959
7001,33.16,1012.74,36.87,18101.81,400,481,15667,10492,24778,20716,19830,14612,42442,31103,2595,4969
8001,33.16,1012.74,36.87,17855.75,400,475,14771,10469,24641,20542,21622,14927,43158,31661,3365,5425
9001,33.16,1012.74,36.88,18086.24,400,490,12690,9580,24737,20402,21484,14983,42592,30650,3998,5871
