timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.57,1014.01,31.4,21249.87,400,1,400,792,456,2224,1985,7020,402,3239,400,421
1000,32.57,1014.0,31.4,20325.09,400,6,400,794,465,2251,1989,7126,415,3274,400,423
2000,32.57,1014.0,31.41,19070.94,400,10,400,798,474,2265,1976,7035,439,3359,400,417
3000,32.57,1014.0,31.43,17469.85,400,7,400,822,485,2277,1965,7015,450,3434,400,428
4000,32.57,1013.99,31.42,16006.31,400,11,400,811,480,2290,1957,6980,457,3409,400,425
5000,32.58,1014.0,31.42,14614.98,400,7,400,812,491,2300,1916,6900,460,3474,400,435
6001,32.58,1014.0,31.44,13403.32,400,17,400,835,497,2327,1859,6889,463,3454,400,440
7001,32.58,1014.0,31.43,12472.68,400,15,400,859,504,2334,1819,6864,448,3374,400,436
8001,32.58,1013.98,31.45,11754.21,400,24,400,855,511,2374,1762,6729,450,3454,400,450
9001,32.58,1013.99,31.45,11321.54,400,28,400,863,528,2401,1693,6694,449,3369,400,449
