timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.22,1012.77,38.62,20604.05,400,40,400,165,662,473,20547,10357,4347,4638,759,1960
1000,32.23,1012.78,38.5,23351.19,416,124,400,208,3517,1743,21305,10740,5325,5174,795,2000
2000,32.24,1012.76,38.37,25955.67,400,140,400,278,6547,3534,22104,11145,7172,5902,760,1946
3000,32.26,1012.77,38.25,27571.49,400,117,455,377,6697,4457,24282,12282,7977,6097,675,1933
4000,32.27,1012.76,38.16,29036.61,400,105,707,511,5655,4437,28376,13936,8250,6117,414,1568
5000,32.29,1012.78,38.07,31351.71,400,94,1037,750,6269,4803,35371,15253,8933,6408,400,1270
6001,32.3,1012.74,37.94,34402.24,400,113,1316,964,6686,5209,28486,14128,8991,6423,400,1330
7001,32.32,1012.75,37.83,37332.64,400,126,1379,1111,5858,5039,25922,13329,8389,6323,408,1349
8001,32.34,1012.75,37.68,39211.43,400,144,1356,1202,4813,4648,21898,11865,9060,6589,400,1233
9001,32.35,1012.74,37.56,39395.0,400,183,1372,1276,4710,4633,20202,11730,10091,6925,400,1242
