timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.12,1012.66,35.12,122809.12,402,6,403,8,400,2,409,8,416,2,409,5
1000,33.12,1012.65,35.11,122988.8,408,5,401,8,404,4,407,8,410,1,409,2
2000,33.12,1012.65,35.1,123895.12,410,7,403,5,408,5,400,4,408,6,409,1
3000,33.12,1012.65,35.09,124169.63,410,9,406,7,406,5,406,10,414,4,400,4
4000,33.12,1012.65,35.1,123895.12,405,12,414,6,406,3,400,3,413,2,410,0
5000,33.12,1012.65,35.1,124814.9,416,6,415,9,410,1,402,11,409,6,409,4
6001,33.12,1012.65,35.09,124077.99,416,10,411,6,407,0,402,5,412,8,403,3
7001,33.12,1012.66,35.11,125000.5,405,6,412,5,409,3,412,7,408,6,400,0
8001,33.12,1012.65,35.11,125560.62,406,10,404,5,411,0,404,11,415,6,408,5
9001,33.12,1012.65,35.11,125560.62,414,11,412,10,414,3,408,11,412,9,406,4
