timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.21,1012.81,36.26,19604.63,1884,2581,400,1651,1200,4247,4533,8860,10138,19670,13034,23121
1000,33.22,1012.84,36.28,18631.37,4251,4457,587,1893,1703,5079,4850,9535,8875,16324,9391,15963
2000,33.22,1012.84,36.31,17572.09,5470,5661,857,2279,2024,5581,5782,10334,7960,15692,3834,10976
3000,33.22,1012.84,36.34,16483.34,4516,5255,1470,2752,2575,5982,6547,10875,8562,16638,2536,9164
4000,33.22,1012.84,36.38,15329.18,2968,4141,1852,3041,3063,6358,7004,11291,9362,17962,3959,12225
5000,33.22,1012.84,36.44,14464.11,1682,2944,2018,3329,3660,6889,7433,11674,9506,18136,4327,12484
6001,33.21,1012.81,36.49,13799.33,1270,2641,2484,3901,4163,7700,7891,12068,9697,18520,4126,12034
7001,33.21,1012.81,36.55,13532.78,940,2445,2749,4126,4666,8702,8267,12124,9669,17997,4469,12473
8001,33.21,1012.82,36.59,13567.72,556,1905,2820,4297,5447,9749,7497,11201,9414,17788,3620,10920
9001,33.21,1012.81,36.62,13594.05,400,1399,2268,3865,6373,10458,4155,7723,9512,17962,3105,10177
