timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.28,34.79,44195.17,21112,32149,15819,27896,952,3384,1195,3078,9622,12991,12290,16019
1000,32.28,34.8,42627.98,20657,32010,14551,26746,771,3034,2053,4688,9981,13306,12304,15906
2000,32.28,34.81,41168.14,21153,32602,13641,25840,663,2854,3264,5671,10369,13621,11782,15737
3000,32.28,34.82,39358.15,22173,33613,12483,25387,434,2519,3937,6187,10584,13779,11134,15355
4000,32.29,34.87,37904.4,23055,34554,11302,23295,400,2196,4491,6759,10769,14060,10531,15006
5001,32.29,34.88,36906.92,23814,35530,10595,21308,400,2016,5423,7577,11001,14128,10306,14747
6001,32.29,34.91,35929.9,24324,35147,10109,20402,400,1972,6999,8984,11244,14342,9935,14691
7001,32.29,34.95,34887.17,24834,35809,9535,18415,400,1843,8041,9940,11336,14499,10196,14803
8001,32.29,34.97,34290.09,25316,36994,8638,16324,400,1667,8591,10582,11342,14252,10537,15152
9001,32.29,34.99,34318.06,25729,37273,7282,15265,400,1683,8406,10436,10954,14173,10931,15355
