timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.39,33.06,14905.2,3161,3314,2202,3006,765,1004,751,674,3358,2801,3797,4603
1000,32.39,33.08,14727.64,3095,3259,2251,2985,772,1014,790,720,3412,2764,3795,4693
2000,32.39,33.07,14474.07,2955,3153,2173,2981,784,999,829,760,3429,2784,3834,4733
3000,32.39,33.08,14345.64,2911,3043,2148,2971,802,1015,895,831,3461,2787,3807,4708
4000,32.39,33.08,14123.9,2838,3045,2114,2953,820,1035,1032,899,3478,2828,3777,4778
5000,32.39,33.08,13964.37,2754,3025,2150,2978,836,1062,1161,983,3534,2840,3799,4843
6001,32.39,33.08,13890.54,2626,2969,2058,2971,860,1084,1322,1046,3529,2851,3797,4878
7001,32.39,33.08,13835.67,2523,2921,2177,2925,883,1096,1445,1150,3556,2879,3836,4813
8001,32.39,33.08,13799.33,2469,2879,2155,2955,950,1106,1584,1213,3596,2948,3826,4703
9001,32.4,33.09,13808.4,2430,2888,2116,2969,1010,1145,1720,1315,3564,2937,3851,4843
