timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.68,34.46,47061.64,1435,4467,1052,4417,400,1277,400,667,400,2429,400,2676
1000,31.68,34.45,47326.59,1462,4462,1019,4307,400,1276,400,643,400,2339,400,2648
2000,31.69,34.45,47487.0,1477,4547,995,4237,400,1337,400,596,400,2300,400,2745
3000,31.69,34.43,47838.3,1484,4487,954,4242,400,1332,400,582,400,2249,431,2854
4000,31.69,34.43,48222.49,1493,4512,908,4146,400,1332,400,570,400,2247,485,2893
5001,31.69,34.42,48500.71,1462,4427,873,4232,400,1469,400,568,400,2191,534,2958
6001,31.69,34.41,48753.86,1414,4402,848,4201,400,1757,400,561,400,2187,559,2999
7001,31.7,34.4,48669.18,1336,4342,819,4096,400,2043,400,544,400,2159,592,3018
8001,31.7,34.4,48810.48,1245,4287,807,4071,466,2263,400,545,400,2254,612,3045
9001,31.7,34.38,49326.0,1102,4001,791,4036,563,2408,400,534,400,2251,611,3163
