timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.91,33.58,133116.1,416,92,400,51,400,7,400,11,400,40,400,58
1000,31.92,33.59,133964.64,405,88,400,58,400,7,400,14,400,47,400,63
2000,31.92,33.59,133964.64,404,84,400,49,400,8,400,12,400,44,400,56
3000,31.92,33.57,133964.64,406,90,400,55,400,9,400,7,400,39,400,60
4000,31.92,33.57,134824.08,400,86,401,51,400,6,400,8,410,38,400,58
5000,31.92,33.56,133221.58,403,89,400,55,400,6,400,10,503,42,403,62
6001,31.92,33.57,134500.5,400,83,400,50,400,9,400,8,573,55,411,59
7001,31.92,33.57,134608.19,400,84,400,52,400,7,407,12,569,58,415,55
8001,31.92,33.57,134608.19,409,84,400,47,400,13,414,5,561,53,425,55
9001,31.92,33.59,135585.18,400,91,400,60,400,11,441,12,534,57,430,58
