timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.72,36.96,23273.62,57330,50554,22159,14015,52825,25282,57330,24829,57330,36471,57330,42293
1000,31.72,36.96,23043.95,57330,50484,22656,13981,50587,24724,56733,23853,57330,37691,57330,43896
2000,31.73,36.97,22868.43,57330,49717,22201,13880,48439,23609,56256,23923,57330,38005,57330,44210
3000,31.73,36.97,22720.09,57330,50066,21622,13678,47425,23505,56584,24411,57330,37796,57330,43861
4000,31.73,36.99,22525.29,57330,49473,21070,13407,48230,23435,57330,25073,57330,38354,57330,43478
5000,31.73,37.0,22357.55,57330,49473,19403,12968,48230,23992,57330,25910,57330,38981,57330,43443
6001,31.73,37.0,22286.42,57330,49578,15708,11967,49901,24446,57330,26537,57330,38877,57330,43373
7001,31.74,37.01,22098.95,57330,48985,11122,10132,51661,25979,57330,27652,57330,38737,57330,43966
8001,31.74,36.99,21983.37,57330,48009,9437,9096,53243,27339,57330,28628,57330,39992,57330,44733
9001,31.74,37.02,21983.37,57330,46266,8614,8410,55063,27757,57330,29291,57330,40689,57330,45011
