timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.66,1024.88,31.48,27845.19,51423,30023,44590,27757,10682,10166,400,1241,8985,8421,49513,21901
1000,33.67,1024.88,31.49,28049.38,52795,30964,45665,28733,9257,9119,400,1249,9784,9051,48887,21762
2000,33.67,1024.88,31.48,28162.03,51423,30232,45844,28663,8360,8500,400,1218,10381,9411,48887,22075
3000,33.67,1024.88,31.46,28544.14,51632,30058,47305,29430,10062,9839,400,1198,9819,8905,48141,22006
4000,33.67,1024.88,31.45,29340.33,52318,30476,47902,29918,12635,11449,400,1157,9124,8646,47484,20995
5000,33.67,1024.88,31.44,30422.28,51811,30302,48887,30371,14702,12090,400,1091,9107,8567,46918,20820
6001,33.67,1024.87,31.41,31563.38,48439,28803,50289,30720,13765,11696,400,1143,9170,8443,45694,20960
7001,33.67,1024.87,31.39,32514.66,42830,26502,51602,31557,13572,11516,400,1259,8863,8038,42950,19531
8001,33.67,1024.87,31.36,33051.03,36654,22912,52706,31940,14330,11730,568,1374,8197,7880,38415,17404
9001,33.67,1024.86,31.35,32973.32,32656,21448,53064,32149,15626,12316,553,1360,7682,7509,36117,16812
