timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.97,1024.84,29.25,18290.86,4123,4733,3753,4292,1614,2000,1909,2270,13668,10650,4383,6127
1000,33.97,1024.84,29.25,18101.81,4033,4552,3760,4312,1681,2009,2053,2385,13641,10717,4266,6052
2000,33.97,1024.84,29.24,17916.63,3986,4603,3787,4352,1747,2101,2278,2542,13944,10728,4202,5937
3000,33.97,1024.84,29.24,17735.2,3898,4507,3831,4457,1803,2113,2541,2602,13737,10740,4089,5917
4000,33.97,1024.84,29.25,17557.41,3782,4457,3856,4417,1875,2210,2712,2669,13834,10728,3991,5786
5000,33.97,1024.84,29.26,17426.39,3716,4347,3922,4477,1933,2288,2909,2718,13930,10605,3925,5716
6001,33.97,1024.83,29.26,17311.56,3652,4337,3885,4482,1972,2348,3031,2814,13751,10582,3841,5681
7001,33.97,1024.83,29.26,17226.42,3591,4247,3917,4512,2032,2410,3193,2888,13779,10785,3821,5631
8001,33.97,1024.83,29.27,17030.99,3534,4252,3981,4608,2099,2468,3331,2928,13475,10706,3775,5550
9001,33.97,1024.83,29.28,16813.0,3512,4257,3988,4603,2244,2505,3458,2990,13338,10661,3662,5500
