timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.7,1024.9,29.47,40455.62,400,623,400,2009,400,2131,466,950,698,1277,400,537
1000,33.7,1024.9,29.46,40808.77,400,610,400,1813,400,1960,775,1156,785,1429,400,540
2000,33.7,1024.9,29.46,41047.64,400,667,400,1633,400,1759,1116,1304,813,1485,400,572
3000,33.71,1024.9,29.46,41007.64,400,792,400,1556,400,1598,854,1291,830,1607,400,627
4000,33.71,1024.9,29.46,40377.97,400,921,400,1570,400,1570,598,1199,825,1651,400,705
5000,33.71,1024.91,29.48,39692.31,400,1018,400,1697,400,1515,400,1102,787,1653,400,761
6001,33.71,1024.9,29.48,39211.43,400,1134,400,1780,400,1499,400,1003,686,1579,400,832
7001,33.71,1024.89,29.48,38885.27,421,1229,400,1873,400,1482,400,925,565,1519,400,896
8001,33.71,1024.89,29.48,38706.41,493,1286,400,1958,400,1452,400,823,453,1434,400,948
9001,33.71,1024.88,29.48,38742.05,554,1381,400,2092,400,1356,400,735,400,1349,400,1017
