timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.28,1024.98,30.27,190034.41,400,62,402,12,400,16,400,31,400,31,400,35
1000,33.28,1024.98,30.27,191354.43,400,63,400,9,404,13,400,28,403,38,400,35
2000,33.28,1024.97,30.27,191465.26,400,68,400,8,400,13,400,30,400,34,400,36
3000,33.28,1024.96,30.27,191798.52,400,61,405,16,400,18,400,32,400,32,400,39
4000,33.28,1024.96,30.27,191465.26,400,65,402,13,400,11,400,29,404,33,400,38
5000,33.28,1024.97,30.27,191133.16,400,66,400,14,400,12,400,26,400,38,400,35
6001,33.29,1024.96,30.27,191909.87,400,66,400,11,400,15,400,26,400,34,400,32
7001,33.29,1024.97,30.26,191354.43,400,67,400,17,400,11,400,24,400,34,400,29
8001,33.29,1024.97,30.27,191465.26,400,66,400,15,400,12,400,26,400,32,400,33
9001,33.29,1024.96,30.27,191909.87,400,59,400,9,400,11,400,26,400,40,400,38
