timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.03,1024.81,33.8,26545.18,37012,27060,27770,24759,11597,11089,1559,2764,26433,21064,57330,30650
1000,33.03,1024.87,33.8,26953.3,33104,25561,28266,25038,12621,11685,1346,2604,28555,23191,57330,31905
2000,33.04,1024.86,33.81,27845.19,31523,24236,28987,26084,14302,12417,1125,2424,30747,24306,57330,32010
3000,33.04,1024.86,33.78,28660.8,28431,22877,31195,27478,15502,12912,813,2080,32448,24655,57330,32602
4000,33.04,1024.85,33.74,29463.61,25909,20960,33641,28873,16274,13182,686,1905,33223,25456,57330,31243
5000,33.04,1024.85,33.72,30182.22,25412,20751,35342,30302,17114,13723,602,1757,35133,25456,56554,30337
6001,33.04,1024.85,33.68,30666.19,25757,20960,37012,31278,17500,13835,575,1702,35908,26502,55003,30092
7001,33.05,1024.84,33.66,31375.09,25785,20925,38444,31522,17197,13813,588,1626,35908,26014,54138,30023
8001,33.05,1024.84,33.61,31898.39,25716,20820,38564,32567,17073,13925,524,1522,34685,25945,54705,30337
9001,33.05,1024.84,33.58,32290.08,25468,20298,39250,32846,17321,14083,400,1247,30598,23818,55361,31103
