timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.46,1014.18,34.56,46904.99,611,1296,37818,18834,49394,38075,57330,56758,57330,51425,1140,2955
1000,32.46,1014.18,34.54,50970.95,918,1600,39489,19844,47186,36785,57330,58641,57330,49857,569,2404
2000,32.46,1014.18,34.48,54970.61,1532,1900,42562,21274,44799,35600,57330,58954,57330,49647,400,1956
3000,32.46,1014.18,34.39,55884.2,1620,1983,45157,22703,43278,35774,57330,59094,55689,48253,400,1794
4000,32.46,1014.17,34.34,54016.91,1864,2157,46858,23609,43904,35948,57330,58257,53571,46998,400,1750
5000,32.47,1014.17,34.31,51979.49,2067,2318,46947,23609,43576,35461,57330,57142,53064,46894,400,1681
6001,32.47,1014.17,34.32,50299.98,1974,2247,45605,23086,43874,35565,57330,57246,55421,47347,400,1508
7001,32.47,1014.16,34.33,49326.0,1577,1960,44680,22668,44292,35600,57330,58083,57330,50484,862,2346
8001,32.47,1014.18,34.35,48895.65,987,1619,43606,22738,43904,35251,57330,57490,57330,51878,4163,4643
9001,32.47,1014.18,34.35,50179.88,585,1270,40026,20890,41667,34485,57330,57177,57330,52959,8916,6669
