timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.25,37.2,39956.17,57330,46580,55242,48532,11209,11145,1118,2182,12304,10785,43158,32288
1000,31.26,37.17,40494.56,57330,47068,57330,49508,14082,12608,1364,2334,11574,10244,39280,30441
2000,31.26,37.17,41411.25,57330,47521,57330,50031,19361,14432,1944,2782,11157,10075,35968,28245
3000,31.26,37.14,42242.79,57330,48497,57330,49125,24709,16603,3382,3630,11221,10211,33641,28001
4000,31.27,37.1,42757.94,57330,48079,55987,48776,29554,21378,5105,5064,11620,10514,34864,28628
5000,31.27,37.07,42498.81,57330,46685,53929,47695,36207,25073,8614,6488,12579,11010,36774,29744
6001,31.28,37.04,41822.89,57330,45918,52586,47312,39847,27548,11360,8229,14427,11438,39399,30441
7001,31.28,37.03,40848.39,57330,44384,51363,46859,40593,27966,14619,9636,16742,12271,41667,31382
8001,31.28,37.05,39468.91,53213,43025,50110,46162,39877,27304,17128,11010,19444,13284,43129,32358
9001,31.29,37.08,37666.86,50796,42188,49483,45360,35013,24899,18259,11426,21057,13801,44740,33090
