timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.97,1024.83,29.34,15590.73,3426,4136,4175,4793,3610,3484,5499,4462,12883,10683,2658,4588
1000,33.97,1024.84,29.33,15861.35,3441,4181,4194,4929,3772,3534,6084,4638,13048,10661,2599,4598
2000,33.97,1024.84,29.34,16116.78,3417,4101,4177,4878,3866,3685,6796,4904,12731,10807,2442,4502
3000,33.97,1024.84,29.35,16418.96,3419,4166,4229,4888,3986,3810,7479,5134,12483,10650,2325,4332
4000,33.97,1024.83,29.35,16719.37,3441,4046,4187,4798,4062,3916,8197,5365,12276,10582,2273,4327
5000,33.97,1024.84,29.35,17017.2,3466,4001,4172,4893,4172,3991,8863,5621,11846,10571,2155,4216
6001,33.97,1024.83,29.36,17268.89,3424,4101,4158,4873,4266,4166,9587,5891,11765,10447,2051,4121
7001,33.97,1024.83,29.36,17498.94,3429,4061,4202,4888,4349,4242,10039,6037,11690,10492,2004,3956
8001,33.97,1024.84,29.36,17705.32,3461,4081,4165,4934,4477,4382,10613,6353,11672,10424,1983,3875
9001,33.97,1024.83,29.38,17765.19,3478,4121,4194,4883,4536,4457,11250,6408,11667,10436,1917,3860
