timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.52,32.73,16666.34,4983,5560,4791,5942,1786,2831,1196,2117,2916,3148,3142,5104
1000,32.52,32.71,16574.34,5203,5545,4754,6007,1774,2796,1181,2034,2914,3163,3169,5089
2000,32.52,32.73,16406.14,5302,5691,4744,5912,1776,2775,1188,2025,2891,3188,3127,5104
3000,32.52,32.74,16241.32,5545,5716,4798,6042,1762,2791,1168,2087,2860,3061,3144,5139
4000,32.52,32.73,16006.31,5777,5736,4791,6027,1728,2764,1162,2057,2869,3088,3110,5029
5001,32.52,32.75,15861.35,5985,5801,4815,6047,1699,2754,1199,2097,2825,3088,3130,5084
6001,32.52,32.74,15648.77,6101,5881,4737,6102,1697,2773,1215,2062,2845,3068,3125,5044
7001,32.52,32.75,15487.33,6286,5907,4732,6087,1696,2736,1259,2064,2828,3163,3115,5049
8001,32.52,32.74,15318.01,6454,6022,4751,6002,1680,2745,1298,2090,2833,3118,3046,5004
9001,32.52,32.75,15185.2,6582,6062,4695,6027,1696,2699,1329,2131,2835,3168,3068,5079
