timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,36.38,1011.47,31.36,20953.27,1069,464,728,330,400,62,400,140,486,165,427,130
1000,36.38,1011.48,31.37,20624.27,1043,463,724,337,400,63,400,149,505,182,446,142
2000,36.38,1011.48,31.37,20325.09,1010,461,728,337,400,63,400,156,542,190,458,152
3000,36.38,1011.48,31.36,20130.41,971,458,730,340,400,64,409,168,574,212,472,156
4000,36.38,1011.49,31.36,19807.88,939,448,720,339,400,61,417,177,598,219,493,172
5000,36.38,1011.49,31.39,19586.36,930,439,723,337,400,56,433,183,623,235,500,177
6001,36.37,1011.49,31.37,19405.51,920,436,721,339,400,61,443,191,639,249,518,185
7001,36.37,1011.5,31.38,19053.65,883,438,734,351,400,58,462,194,664,256,521,191
8001,36.37,1011.45,31.38,18882.46,862,430,743,345,400,62,474,200,683,281,543,203
9001,36.37,1011.45,31.4,18647.9,841,429,739,355,400,66,486,211,712,293,551,211
