timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.47,1014.2,33.45,39029.56,24696,14252,25592,13880,27439,14263,42293,15580,26212,12541,41517,18868
1000,32.47,1014.2,33.48,38635.32,22807,13520,25454,13858,26998,14162,44501,16131,28927,13396,36953,16394
2000,32.47,1014.19,33.48,38388.57,17431,11651,25178,13790,26625,14060,46172,16188,33492,13925,27866,15152
3000,32.47,1014.19,33.49,37938.57,11151,9625,25206,13835,26791,14342,48290,17056,36833,14533,22656,13587
4000,32.47,1014.19,33.51,37432.28,9309,8331,25385,13756,27246,14409,49364,17439,38623,14893,18879,12676
5000,32.47,1014.18,33.52,37365.8,9263,8353,25151,13779,27756,14578,49961,18659,38892,15096,17280,12180
6001,32.48,1014.18,33.55,36777.88,9883,8725,24406,13340,28431,14713,50498,18555,38265,14938,17652,12484
7001,32.48,1014.18,33.56,36586.0,10809,9321,23965,13340,28528,14646,51542,19008,36893,14702,19099,12732
8001,32.48,1014.18,33.59,36053.05,11748,10030,24365,13329,28431,14387,51632,19287,35342,14612,20616,13374
9001,32.48,1014.18,33.6,35686.1,13544,10391,24544,13329,28031,14522,52556,19356,33701,14398,22435,13475
