timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.72,34.32,48867.23,400,1997,679,3635,400,2226,400,574,458,2422,560,3034
1000,31.73,34.32,48167.23,400,2011,670,3605,400,2113,400,582,483,2447,569,3066
2000,31.73,34.33,47567.61,400,2030,657,3585,400,2159,400,643,500,2438,571,3098
3000,31.73,34.33,47114.4,400,2138,626,3539,400,2297,400,738,516,2471,563,3048
4000,31.73,34.32,46285.78,400,2191,577,3324,400,2496,400,843,509,2447,548,3029
5001,31.73,34.34,45982.27,400,2260,559,3269,540,2667,400,979,519,2489,533,3022
6001,31.74,34.33,45583.73,400,2295,512,3244,650,2791,400,1128,555,2544,501,2978
7001,31.74,34.34,45143.55,400,2304,472,3057,721,2909,400,1278,586,2579,467,2976
8001,31.74,34.34,44950.63,400,2263,435,2985,781,3001,491,1420,621,2669,446,2935
9001,31.74,34.33,44522.54,400,2344,404,2999,812,3027,547,1653,636,2671,436,2893
