timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.98,1013.74,31.5,132591.19,404,4,400,7,400,9,404,8,407,8,409,3
1000,31.98,1013.74,31.5,132800.66,410,4,403,8,400,5,404,6,400,8,406,0
2000,31.98,1013.79,31.49,133857.98,417,0,400,10,407,3,400,3,408,11,411,6
3000,31.98,1013.78,31.49,133116.1,411,2,405,12,403,3,403,9,401,5,401,4
4000,31.98,1013.77,31.49,133221.58,419,2,400,12,406,1,403,9,400,11,410,10
5001,31.98,1013.77,31.49,133433.04,430,2,400,12,400,4,405,6,407,10,419,9
6001,31.98,1013.77,31.49,134392.99,433,2,405,6,410,4,402,12,400,11,422,7
7001,31.99,1013.78,31.49,134178.47,435,9,412,6,403,0,409,6,412,11,422,7
8001,31.99,1013.78,31.48,134824.08,433,3,420,6,402,4,401,12,404,5,417,9
9001,31.99,1013.77,31.49,135040.66,459,6,416,16,403,2,400,0,408,9,415,10
