timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.58,31.71,132591.19,400,104,400,100,400,26,400,25,400,31,400,123
1000,32.58,31.72,133327.23,400,104,400,99,400,29,400,25,400,31,400,117
2000,32.58,31.69,133645.17,400,93,400,98,400,27,400,25,400,27,400,115
3000,32.58,31.68,133010.79,400,94,400,104,400,33,400,16,400,31,400,122
4000,32.58,31.68,133857.98,400,100,400,101,400,32,400,18,400,31,400,121
5001,32.58,31.68,133964.64,400,97,400,102,400,31,400,13,400,27,400,116
6001,32.59,31.67,134071.47,400,94,400,103,400,27,400,18,400,30,400,112
7001,32.59,31.66,134716.05,400,96,400,106,400,35,400,13,400,33,400,121
8001,32.59,31.66,134285.64,400,92,400,103,400,28,400,13,400,30,400,122
9001,32.59,31.67,134285.64,400,90,400,97,400,23,400,17,400,27,400,123
