timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.02,1005.1,37.96,161039.77,400,1,400,1,400,3,400,0,400,4,400,3
1000,32.0,1005.13,37.97,161503.86,400,3,400,0,400,3,400,2,400,6,400,0
2000,31.99,1005.14,37.97,162283.32,400,0,400,4,400,0,400,0,400,0,400,0
3000,31.97,1005.12,37.98,162754.62,400,3,400,0,400,0,400,11,400,0,400,4
4000,31.96,1005.13,37.99,162283.32,400,4,400,0,400,4,400,1,400,0,400,7
5001,31.94,1005.14,38.0,162440.11,400,0,400,1,400,0,400,5,400,1,400,1
6001,31.92,1005.15,38.01,163387.28,400,0,400,0,400,2,400,1,400,1,400,4
7001,31.9,1005.14,38.03,163865.02,400,1,400,6,400,2,400,10,400,1,400,5
8001,31.88,1005.17,38.05,164024.89,400,0,400,0,400,5,400,2,400,0,400,1
9001,31.87,1005.17,38.07,164667.49,400,3,400,4,400,3,400,8,400,6,400,3
