timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.39,1014.09,35.15,21336.16,57330,28210,57330,18485,57330,14950,57330,16707,57330,50310,57330,49473
1000,32.39,1014.09,35.17,21100.53,57330,25038,57330,19461,57330,15220,57330,17788,57330,50484,57330,48218
2000,32.39,1014.08,35.19,20746.43,57330,21064,57330,20472,57330,15434,57330,19287,57330,50484,57330,48183
3000,32.4,1014.08,35.22,20523.57,57330,18834,57330,21169,57330,15602,57330,19496,57330,51251,57330,50031
4000,32.4,1014.08,35.25,20111.15,57330,21274,57330,22284,57330,15692,57330,19914,57330,50519,57330,51181
5000,32.4,1014.08,35.27,19920.52,57330,23679,57330,22145,57330,15895,57330,20228,57330,50170,57330,52436
6001,32.4,1014.09,35.3,19770.61,57330,26920,57330,22215,57330,15794,57330,20576,57330,48950,57330,53238
7001,32.4,1014.08,35.33,19641.27,57330,29395,57330,22982,57330,16041,57330,21622,57330,48079,57330,53168
8001,32.4,1014.08,35.34,19586.36,57330,31069,57330,23191,57330,15918,57330,21727,57330,48602,57330,52610
9001,32.4,1014.07,35.36,19659.64,57330,33160,57330,23470,57330,15749,57330,23016,57330,47173,57330,53029
