timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.89,36.2,23838.08,52855,36367,861,2697,14675,11269,50707,25840,57330,49822,57330,50937
1000,31.89,36.19,23973.9,51990,36053,871,2653,12897,10762,53601,27513,57330,49543,57330,49508
2000,31.89,36.19,23919.39,50229,35112,952,2632,11591,10357,55540,28315,57330,50240,57330,49090
3000,31.89,36.17,23892.22,47902,34031,875,2591,11481,10334,56584,28873,57330,51042,57330,48846
4000,31.89,36.16,24001.25,46082,32742,848,2510,12414,10706,57330,29535,57330,51843,57330,49264
5000,31.9,36.16,23932.99,44948,33055,875,2517,14564,11426,57330,29639,57330,52819,57330,49403
6001,31.9,36.14,24125.11,45873,33195,1095,2588,16784,12102,57330,29326,57330,53342,57330,50066
7001,31.9,36.13,24097.48,47455,33857,1485,2775,18507,12529,56256,28803,57330,53203,57330,50135
8001,31.9,36.11,24152.81,49006,34554,1803,2981,20285,13025,55182,28036,57330,53342,57330,49996
9001,31.9,36.11,23946.61,50796,35217,1888,3020,21525,13497,55331,29012,57330,53273,57330,49961
