timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.22,1011.42,37.2,32895.98,801,313,7699,1845,21567,2967,55391,7000,22669,3700,400,133
1000,33.22,1011.42,37.19,33103.04,1173,382,8725,1935,20864,2907,53750,6889,24144,3971,403,127
2000,33.22,1011.41,37.16,32640.78,1522,430,9512,2032,19223,2854,52198,6744,23400,3770,578,142
3000,33.23,1011.41,37.18,32339.72,1955,519,8661,1907,18493,2741,52139,6769,22380,3625,839,180
4000,33.23,1011.41,37.18,31777.93,2597,583,8290,1817,19692,2842,53064,6849,22849,3735,1344,234
5000,33.23,1011.4,37.2,31235.34,2801,601,8626,1912,20960,2935,52527,6814,24227,4056,1745,310
6001,33.24,1011.42,37.23,30823.45,2538,597,10010,2092,22421,3027,52318,6734,25509,4252,2013,387
7001,33.24,1011.41,37.25,30203.89,2064,561,14468,2510,23896,3148,51124,6624,25537,4121,2546,455
8001,33.24,1011.41,37.27,29967.25,1949,529,17914,2724,25275,3434,51214,6659,23993,3895,2968,504
9001,33.25,1011.4,37.3,29608.75,1829,521,22201,3008,26377,3660,50050,6619,22669,3760,3208,547
